OBJECTID,Date,Latitude,Longitude,Oceans,Regions,Location,Microplastics Measurement (density),Unit,Density Range,Concentration Class,Sampling Method,Organization
81,1990-09-04 00:00:00,25.37,-76.0,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
2171,26/10/2001,26.2,-58.48,Atlantic Ocean,north atlantic ocean,Other,0.455724,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
4876,2002-01-11 00:00:00,24.45,-56.76,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
11442,2010-11-01 00:00:00,22.8418,-62.7592,Atlantic Ocean,north atlantic ocean,Other,0.259965,pieces/m3,0.005-1,Medium,Neuston net,5 Gyres Institute
21192,2022-04-05 00:00:00,29.1957,-94.9479,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
16188,23/04/2019,27.7941,-97.0828,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
15733,24/01/2019,27.561,-97.2311,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
15782,2019-03-02 00:00:00,27.7171,-97.1409,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
16729,20/08/2019,26.6312,-97.3007,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
16778,2019-12-09 00:00:00,26.0765,-97.1574,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
20737,2022-02-04 00:00:00,29.3294,-94.7305,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
17491,2019-07-12 00:00:00,29.2907,-94.7864,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
17442,2019-08-12 00:00:00,29.2796,-94.8031,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
21069,2022-02-05 00:00:00,29.2762,-94.8091,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
19483,2021-03-05 00:00:00,29.2686,-94.8224,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
21143,2022-03-05 00:00:00,29.256,-94.8448,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
3118,1993-12-05 00:00:00,26.0,-75.0,Atlantic Ocean,north atlantic ocean,Other,0.02376,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
22188,15/11/2016,27.5737,-82.6868,Atlantic Ocean,gulf of mexico,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Van Dorn sampler,University of South Florida
22139,20/09/2016,27.729,-82.4987,Atlantic Ocean,gulf of mexico,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Van Dorn sampler,University of South Florida
17774,2020-01-02 00:00:00,30.3796,-86.4043,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
20147,2021-12-10 00:00:00,30.3061,-89.3278,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
17823,2020-10-02 00:00:00,29.6524,-95.0094,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
4421,1999-09-11 00:00:00,12.1,-59.53,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
9167,2014-04-12 00:00:00,18.3575,-45.7934,Atlantic Ocean,north atlantic ocean,Other,0.003,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
12536,2015-06-08 00:00:00,31.001183,-135.9385,Pacific Ocean,north pacific ocean,Other,1.386953,pieces/m3,1-10,High,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
7077,2005-07-12 00:00:00,24.37,-147.78,Pacific Ocean,north pacific ocean,Other,0.892728,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
12487,30/07/2015,29.00001,-141.0635,Pacific Ocean,north pacific ocean,Other,1.33967,pieces/m3,1-10,High,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
6413,2002-11-12 00:00:00,20.69,-111.76,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
1126,28/02/1996,16.8,-83.62,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
20098,14/10/2021,9.5977,-84.6202,Pacific Ocean,north pacific ocean,Other,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
8786,21/05/2014,18.0327,-63.0973,Atlantic Ocean,caribbean sea,caribbean sea,0.002,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
8737,19/02/2014,15.8674,-61.5895,Atlantic Ocean,caribbean sea,caribbean sea,0.001,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
5540,2005-02-11 00:00:00,14.74,-59.66,Atlantic Ocean,north atlantic ocean,Other,0.00824,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
9118,2014-01-12 00:00:00,15.4095,-55.187,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
11517,30/11/2010,-32.278,-5.9515,Atlantic Ocean,south atlantic ocean,Other,1.554421,pieces/m3,1-10,High,Neuston net,5 Gyres Institute
12181,2017-09-10 00:00:00,-3.0,-86.0,Pacific Ocean,south pacific ocean,galápagos,0.66,pieces/m3,0.005-1,Medium,Plankton net,"University of Copenhagen, Denmark"
6436,24/12/2002,5.74,-128.9,Pacific Ocean,north pacific ocean,Other,0.002056,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
7930,2010-08-07 00:00:00,5.79,-147.72,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
6181,28/11/2001,8.97,-85.23,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
13930,19/10/2018,1.420494,-48.156708,Atlantic Ocean,north atlantic ocean,Other,2565.0,pieces/m3,10,Very High,Aluminum bucket,"Federal University of Pará, Brazil"
7438,22/02/2008,40.38,-157.49,Pacific Ocean,north pacific ocean,Other,0.44862,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
12679,15/08/2015,40.0162,-151.63895,Pacific Ocean,north pacific ocean,Other,0.377236,pieces/m3,0.005-1,Medium,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
14173,15/01/2018,57.619,-1.736833,Atlantic Ocean,north sea,Other,0.01663,pieces/m3,0.005-1,Medium,Neuston net,Marine Scotland Science
14428,2021-01-03 00:00:00,55.306,-5.222667,Atlantic Ocean,inner seas off the west coast of scotland,Other,0.341669,pieces/m3,0.005-1,Medium,Neuston net,Marine Scotland Science
8428,2012-08-04 00:00:00,6.84,-149.44,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
8102,28/03/2011,20.35,-154.67,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
10592,20/10/2010,23.5838,-152.0133,Pacific Ocean,north pacific ocean,Other,0.026,pieces/m3,0.005-1,Medium,Manta net,Scripps Institution of Oceanography-University of California San Diego
12673,2015-08-08 00:00:00,36.83315,-153.35705,Pacific Ocean,north pacific ocean,Other,3.118782,pieces/m3,1-10,High,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
13171,13/10/2013,37.343333,-11.301667,Atlantic Ocean,north atlantic ocean,Other,0.461502,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
10758,2021-05-05 00:00:00,41.263153,1.963507,Atlantic Ocean,mediterranean sea,Other,1.834667,pieces/m3,1-10,High,Manta net,University of Barcelona
19171,25/02/2021,45.6849,-123.94,Pacific Ocean,north pacific ocean,Other,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
19414,15/04/2021,45.3617,-123.9711,Pacific Ocean,north pacific ocean,Other,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
19912,29/06/2021,43.0528,-78.8984,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
11256,2018-05-09 00:00:00,44.129778,9.608947,Atlantic Ocean,mediterranean sea,Other,0.249643,pieces/m3,0.005-1,Medium,Manta net,"Hellenic Centre for Marine Research, Greece"
21827,25/09/2020,41.435763,-71.4522,Atlantic Ocean,north atlantic ocean,Other,165.7,pieces kg-1 d.w.,150-200,High,Metal spoon,"University of Rhode Island, USA"
436,19/06/1992,41.12,-71.53,Atlantic Ocean,north atlantic ocean,Other,0.0108,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
1859,25/07/2000,41.33,-70.88,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
1195,18/10/1996,41.88,-68.55,Atlantic Ocean,north atlantic ocean,Other,0.061696,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
2861,17/05/1992,40.35,-65.54,Atlantic Ocean,north atlantic ocean,Other,0.00216,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
2102,2001-02-06 00:00:00,40.3,-63.81,Atlantic Ocean,north atlantic ocean,Other,0.0192,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
4515,20/04/2000,29.13,-65.53,Atlantic Ocean,north atlantic ocean,Other,0.003928,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
6015,2008-06-04 00:00:00,28.95,-70.4,Atlantic Ocean,north atlantic ocean,Other,0.026268,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
9092,30/11/2014,22.6762,-31.305,Atlantic Ocean,north atlantic ocean,Other,0.008,pieces/m3,0.005-1,Medium,Grab sample,Adventure Scientist
10515,2009-10-08 00:00:00,32.9051,-140.2931,Pacific Ocean,north pacific ocean,Other,5.039,pieces/m3,1-10,High,Manta net,Scripps Institution of Oceanography-University of California San Diego
7936,13/07/2010,40.68,-128.9,Pacific Ocean,north pacific ocean,Other,2.611356,pieces/m3,1-10,High,Neuston net,Sea Education Association
21335,15/05/2022,38.8838,-77.047,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
15335,2018-10-05 00:00:00,20.63028,-87.065838,Atlantic Ocean,caribbean sea,caribbean sea,2820.874471,pieces/m3,500-30000,Medium,PVC cylinder,"Universidad Autónoma de Baja California, Mexico"
18673,14/10/2020,25.1404,-80.3943,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
3851,16/05/1997,25.6,-76.97,Atlantic Ocean,north atlantic ocean,Other,0.0027,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
9851,2016-05-02 00:00:00,23.8867,-76.165,Atlantic Ocean,north atlantic ocean,Other,0.001,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
5517,28/10/2005,25.67,-56.0,Atlantic Ocean,north atlantic ocean,Other,0.011184,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
2600,17/04/1990,21.75,-69.57,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
19248,16/03/2021,29.2275,-94.8949,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
18009,2020-09-03 00:00:00,27.8286,-97.0522,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
17256,25/11/2019,27.9332,-96.982,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
16592,28/06/2019,27.6435,-97.187,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
16094,2019-05-04 00:00:00,27.6744,-97.1677,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
16586,27/06/2019,26.974,-97.3772,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
20173,18/09/2021,29.1146,-95.0782,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
20665,2022-04-03 00:00:00,29.5326,-95.0094,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
17250,2019-03-12 00:00:00,29.292,-94.7846,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
17084,21/11/2019,29.2888,-94.7881,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
20837,2022-08-04 00:00:00,29.2663,-94.8255,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
21163,2022-01-04 00:00:00,29.1954,-94.9488,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,1-2,Low,Hand picking,University of Texas Marine Science Institute
18507,2020-04-09 00:00:00,28.2903,-80.6065,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
3525,23/03/1996,27.2,-82.8,Atlantic Ocean,gulf of mexico,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
18750,2020-09-11 00:00:00,30.306,-89.3281,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
17748,29/01/2020,30.424,-87.9102,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
20671,2022-10-03 00:00:00,29.24,-89.9787,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
21329,2022-12-05 00:00:00,29.9718,-90.2473,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
8600,27/10/2012,20.15,-147.77,Pacific Ocean,north pacific ocean,Other,0.181424,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
6679,2004-04-03 00:00:00,25.94,-146.58,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
12507,2015-02-08 00:00:00,29.981317,-139.834,Pacific Ocean,north pacific ocean,Other,19.315363,pieces/m3,10,Very High,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
5772,2007-04-04 00:00:00,28.5,-77.39,Atlantic Ocean,north atlantic ocean,Other,0.00216,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
1438,31/03/1998,26.87,-79.8,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
4023,1998-12-02 00:00:00,28.0,-80.02,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
5938,26/11/2007,18.06,-64.54,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
9353,17/01/2015,17.93,-62.87,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Grab sample,Adventure Scientist
1361,1997-05-12 00:00:00,16.77,-62.83,Atlantic Ocean,caribbean sea,caribbean sea,0.00864,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
697,16/12/1993,16.03,-62.37,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
5274,2004-04-11 00:00:00,14.54,-60.61,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
14594,14/11/2015,14.864849,-23.722012,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Intake seawater pump,"Galway Mayo Institute of Technology, Ireland"
8594,26/10/2012,19.24,-143.41,Pacific Ocean,north pacific ocean,Other,0.311752,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
4017,27/12/1997,17.57,-84.33,Atlantic Ocean,caribbean sea,caribbean sea,0.0108,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
16758,30/08/2019,19.9921,-87.4688,Atlantic Ocean,caribbean sea,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
1936,2000-06-12 00:00:00,12.23,-64.41,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
3353,19/12/1994,14.63,-70.28,Atlantic Ocean,caribbean sea,caribbean sea,0.005084,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
3359,21/12/1994,17.1,-71.45,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
12158,20/04/2011,-25.2705,-123.2543,Pacific Ocean,south pacific ocean,galápagos,0.009734,pieces/m3,0.005-1,Medium,Manta net,5 Gyres Institute
10664,2006-10-08 00:00:00,3.883,-117.633,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Manta net,Scripps Institution of Oceanography-University of California San Diego
6158,31/10/2001,17.45,-104.23,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
1959,21/12/2000,17.16,-76.39,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
2451,20/12/1987,15.25,-75.83,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
2002,2001-03-03 00:00:00,16.95,-83.16,Atlantic Ocean,caribbean sea,caribbean sea,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
12773,13/08/2015,34.14805,-154.3767,Pacific Ocean,north pacific ocean,Other,0.646543,pieces/m3,0.005-1,Medium,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
13787,13/09/2021,44.923667,8.134,Atlantic Ocean,mediterranean region,Other,0.086865,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
14451,2021-01-12 00:00:00,56.0085,-3.370667,Atlantic Ocean,north sea,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Marine Scotland Science
13953,2014-10-01 00:00:00,60.776667,1.0885,Atlantic Ocean,north sea,Other,0.025192,pieces/m3,0.005-1,Medium,Neuston net,Marine Scotland Science
6822,2004-06-12 00:00:00,11.44,-156.82,Pacific Ocean,north pacific ocean,Other,0.00432,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
8451,27/04/2012,33.1,-149.63,Pacific Ocean,north pacific ocean,Other,0.03142,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
12650,14/08/2015,36.273667,-149.92,Pacific Ocean,north pacific ocean,Other,1.148941,pieces/m3,1-10,High,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
4117,16/07/1998,46.62,-56.35,Atlantic Ocean,north atlantic ocean,Other,0.00864,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
9453,2015-09-06 00:00:00,46.3883,-63.7825,Atlantic Ocean,gulf of st. lawrence,caribbean sea,0.001,pieces/m3,0.0005-0.005,Low,Grab sample,Adventure Scientist
1461,26/06/1998,43.48,-67.81,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
797,26/07/1994,44.28,-66.93,Atlantic Ocean,north atlantic ocean,Other,0.043244,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
13320,14/06/2015,48.318167,-4.416,Atlantic Ocean,celtic sea,Other,0.009982,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
14814,15/08/2019,50.574386,-14.15624,Atlantic Ocean,north atlantic ocean,Other,0.0,pieces kg-1 d.w.,0-2,Very Low,Remotely operated vehicle,"Atlantic Technological University, Galway, Ireland"
10443,2013-12-06 00:00:00,38.031,5.324,Atlantic Ocean,mediterranean sea,Other,0.995025,pieces/m3,0.005-1,Medium,Neuston net,"Institute of Marine Sciences - National Research Council, Italy"
19320,25/03/2021,45.73,-123.9443,Pacific Ocean,north pacific ocean,Other,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
19314,25/03/2021,45.6986,-123.9406,Pacific Ocean,north pacific ocean,Other,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
18650,2020-02-10 00:00:00,43.3457,-124.3484,Pacific Ocean,north pacific ocean,Other,,pieces/10 mins,1-2,Low,Hand picking,University of Texas Marine Science Institute
18607,28/09/2020,43.0536,-78.8989,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
3453,18/07/1995,44.39,-61.89,Atlantic Ocean,north atlantic ocean,Other,0.01512,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
18773,20/11/2020,41.6409,-70.2115,Atlantic Ocean,north atlantic ocean,Other,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
2500,1989-12-06 00:00:00,40.5,-67.68,Atlantic Ocean,north atlantic ocean,Other,0.0054,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
4166,22/10/1998,32.71,-60.65,Atlantic Ocean,north atlantic ocean,Other,0.01512,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
1787,19/04/2000,31.5,-60.47,Atlantic Ocean,north atlantic ocean,Other,0.036716,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
13148,16/09/2013,31.288333,-25.263333,Atlantic Ocean,north atlantic ocean,Other,0.250374,pieces/m3,0.005-1,Medium,Manta net,"Oceaneye Association,  Switzerland"
11156,13/07/2014,39.0051,17.2516,Atlantic Ocean,mediterranean sea,Other,7.151593,pieces/m3,1-10,High,Manta net,Sorbonne Universités
10492,2009-07-08 00:00:00,32.1439,-133.1823,Pacific Ocean,north pacific ocean,Other,0.209,pieces/m3,0.005-1,Medium,Manta net,Scripps Institution of Oceanography-University of California San Diego
19812,30/07/2021,33.7377,-118.1064,Pacific Ocean,north pacific ocean,Other,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
15478,23/06/2018,31.29732,-113.541203,Pacific Ocean,gulf of california,caribbean sea,705.218618,pieces/m3,500-30000,Medium,PVC cylinder,"Universidad Autónoma de Baja California, Mexico"
1338,26/10/1997,31.85,-64.13,Atlantic Ocean,north atlantic ocean,Other,0.00216,pieces/m3,0.0005-0.005,Low,Neuston net,Sea Education Association
1295,13/04/1997,31.99,-64.6,Atlantic Ocean,north atlantic ocean,Other,0.043196,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
1289,1997-07-04 00:00:00,33.56,-66.94,Atlantic Ocean,north atlantic ocean,Other,0.166308,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
6656,2004-01-01 00:00:00,31.72,-144.77,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
12607,17/08/2015,32.991073,-138.0,Pacific Ocean,north pacific ocean,Other,1.698375,pieces/m3,1-10,High,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
12656,2015-10-08 00:00:00,34.5692,-147.24665,Pacific Ocean,north pacific ocean,Other,0.317912,pieces/m3,0.005-1,Medium,Manta net,"The Ocean Cleanup, Rotterdam, The Netherlands"
10658,1972-02-05 00:00:00,39.0,-132.983,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Scripps Institution of Oceanography-University of California San Diego
10615,27/10/2010,36.5987,-125.8362,Pacific Ocean,north pacific ocean,Other,0.009,pieces/m3,0.005-1,Medium,Manta net,Scripps Institution of Oceanography-University of California San Diego
10609,25/10/2010,33.7404,-133.8036,Pacific Ocean,north pacific ocean,Other,0.17,pieces/m3,0.005-1,Medium,Manta net,Scripps Institution of Oceanography-University of California San Diego
15312,2018-05-05 00:00:00,21.29148,-89.634561,Atlantic Ocean,gulf of mexico,caribbean sea,2820.874471,pieces/m3,500-30000,Medium,PVC cylinder,"Universidad Autónoma de Baja California, Mexico"
16492,26/05/2019,24.562,-81.8055,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
10117,2018-05-05 00:00:00,25.4296,-64.8085,Atlantic Ocean,north atlantic ocean,Other,27.0,pieces/m3,10,Very High,Intake seawater pump,GEOMAR Helmholtz Centre for Ocean Research Kiel
4658,18/02/2001,26.49,-73.53,Atlantic Ocean,north atlantic ocean,Other,0.01944,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
1836,2000-02-06 00:00:00,27.46,-71.95,Atlantic Ocean,north atlantic ocean,Other,0.024684,pieces/m3,0.005-1,Medium,Neuston net,Sea Education Association
7953,18/08/2010,32.84,-147.81,Pacific Ocean,north pacific ocean,Other,0.0,pieces/m3,0-0.0005,Very Low,Neuston net,Sea Education Association
18109,2020-05-04 00:00:00,27.5837,-97.219,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
17107,23/11/2019,27.5809,-97.22,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,0,Very Low,Hand picking,University of Texas Marine Science Institute
15951,2019-11-03 00:00:00,27.5488,-97.2375,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
15945,2019-11-03 00:00:00,27.5526,-97.2356,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,40-200,High,Hand picking,University of Texas Marine Science Institute
16117,2019-09-04 00:00:00,27.6151,-97.201,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
16443,23/05/2019,26.1147,-97.1646,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
20765,2022-03-04 00:00:00,29.2636,-94.8317,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
20814,2022-11-04 00:00:00,29.3002,-94.7741,Atlantic Ocean,gulf of mexico,caribbean sea,,pieces/10 mins,2-40,Medium,Hand picking,University of Texas Marine Science Institute
